code,name,country,lat,lon
AUBPO,Bridport,AU,-41.0,147.4
AUBRR,Berrys Creek,AU,-38.41667,146.06667
AUBRT,Bathurst Island,AU,-11.583333,130.3
AUBSA,Brighton-Le-Sands,AU,-33.95,151.15
AUBTB,Botany Bay,AU,-33.9859293,151.1883543
AUBUC,Burketown,AU,-17.73333,139.53333
AUBUL,Bulli,AU,-34.3,150.91667
AUBUS,Busselton,AU,-33.644499,115.3488754
AUBUY,Bunbury,AU,-33.3267797,115.636698
AUBVD,Belvidere,AU,-35.3,138.93333
AUBWB,Barrow Island,AU,-20.782066,115.4067731
AUBWI,Bulwer,AU,-27.06667,153.36667
AUBWT,Burnie,AU,-41.0523688,145.9064073
AUBYP,Beauty Point,AU,-41.1567189,146.8204306
AUBYY,Bushy Park,AU,-37.86667,147.03333
AUC8R,Cromer,AU,-34.76667,139.0
AUCAL,Caloundra Head,AU,-26.7981633,153.1354434
AUCAP,Capalaba,AU,-27.51667,153.18333
AUCAR,Carina Heights,AU,-27.5,153.08333
AUCBA,Corio Bay,AU,-38.11667,144.43333
AUCBO,Carboor,AU,-36.63333,146.55
AUCBR,Canberra,AU,-35.2975906,149.1012676
AUCCU,Cape Cuvier,AU,-24.2254977,113.3936022
AUCDN,Clarendon,AU,-35.11667,138.63333
AUCFS,Coffs Harbour,AU,-30.2985996,153.1094116
AUCHA,Chatswood,AU,-33.7967377,151.1814306
AUCHB,Catherine Hill Bay,AU,-33.1556323,151.6273518
AUCHE,Chermside,AU,-27.384991,153.033322
AUCHV,Challis Venture (oil terminal),AU,-12.11667,125.01667
AUCLF,Carlingford,AU,-33.78333,151.05
AUCLM,Claremont,AU,-31.98333,115.78333
AUCLN,Cape Leeuwin,AU,-34.376389,115.136389
AUCLT,Cape Lambert,AU,-20.612057,117.1601648
AUCMB,Cambridge,AU,-42.83333,147.45
AUCMO,Como,AU,-34.0,151.06667
AUCMP,Camperdown,AU,-33.88333,151.16667
AUCN6,Chinderah,AU,-28.23333,153.55
AUCNS,Cairns,AU,-16.9206657,145.7721854
AUCNW,Coonawarra,AU,-37.3,140.81667
AUCOO,Coomera,AU,-27.88333,153.3
AUCOP,Cossack Pioneer (oil terminal),AU,-19.58333,116.45
AUCOU,Coolum,AU,-26.55,153.08333
AUCOW,Cowaramup,AU,-33.86667,115.08333
AUCPN,Cape Preston,AU,-20.85,116.2
AUCPR,Coorparoo,AU,-27.5,153.05
AUCQP,Cape Flattery,AU,-14.9833,145.351
AUCRF,Crafers,AU,-35.0,138.7
AUCRL,Coral Bay,AU,-23.13333,113.76667
AUCRS,Coral Sea,AU,-21.006593,149.5620841
AUCRU,Cronulla,AU,-34.05,151.15
AUCRV,Coromandel Valley,AU,-35.05,138.61667
AUCST,Coldstream,AU,-37.71667,145.36667
AUCTE,Cottesloe,AU,-32.0,115.76667
AUCTH,Thevenard Island,AU,-21.45,114.98333
AUCTI,Cockatoo Island,AU,-16.1,123.61667
AUCTN,Cooktown,AU,-15.3718125,144.9028573
AUCTT,Cottles Bridge,AU,-37.63333,145.21667
AUCUN,Caufield North,AU,-37.86667,14.85
AUCVL,Clovelly,AU,-33.9,151.25
AUCVN,Cleveland,AU,-27.53333,153.26667
AUCVQ,Carnarvon,AU,-24.883847,113.6570703
AUCVS,Caversham,AU,-31.88333,115.96667
AUDA5,Twowells,AU,-34.6,138.5
AUDAA,Darra,AU,-27.568054,152.9542605
AUDAL,Dalton,AU,-34.71667,149.18333
AUDAM,Dampier,AU,-20.6624798,116.7119013
AUDAR,Dardanup,AU,-33.4,115.75
AUDFE,Longwood,AU,-35.045255,138.7280787
AUDGA,Tea Gardens,AU,-32.66667,152.15
AUDHI,Dhipirrinjura,AU,-12.25,135.08333
AUDIA,Diamond Creek,AU,-37.66667,145.15
AUDIL,Cowandilla,AU,-34.91667,138.55
AUDIT,Dalrymple Islet,AU,-9.6,143.3
AUDLP,Arndell Park,AU,-33.78333,150.86667
AUDON,Cape Don,AU,-11.31667,131.75
AUDPO,Devonport,AU,-41.1797561,146.3613011
AUDRB,Derby,AU,-17.3031912,123.6287226
AUDRW,Darwin,AU,-12.45,130.83333
AUDRY,Drysdale,AU,-38.16667,144.56667
AUDSW,Padstow,AU,-33.95,151.03333
AUEDB,Edithburgh,AU,-35.0870533,137.7424327
AUEDE,Eden Valley,AU,-34.65,139.1
AUELB,Elizabeth Bay,AU,-33.8716908,151.2282875
AUELE,Electrona,AU,-43.055251,147.2620888
AUELT,Eltham,AU,-37.73333,145.15
AUEPR,Esperance,AU,-33.858228,121.8931606
AUEVL,Evans Landing,AU,-12.66667,141.85
AUEXM,Exmouth Gulf,AU,-22.6065486,114.1991273
AUFIN,Findon,AU,-34.9,138.53333
AUFLD,Frankland,AU,-34.3607322,117.0801807
AUFLN,Flynn,AU,-38.16667,146.68333
AUFRE,Fremantle,AU,-32.0534086,115.7586172
AUFRY,Port Fairy,AU,-38.36667,142.23333
AUFWT,Freshwater,AU,-33.76667,151.28333
AUGBT,Garbutt,AU,-19.26667,146.76667
AUGEE,George Town,AU,-41.1050157,146.8238459
AUGEM,Gembrook,AU,-37.95,145.55
AUGET,Geraldton,AU,-28.77035,114.6147159
AUGEX,Geelong,AU,-38.1493248,144.3598241
AUGLT,Gladstone,AU,-23.8431724,151.256132
AUGOA,Goolwa,AU,-35.5,138.78333
AUGOH,Gove Harbour,AU,-12.21667,136.66667
AUGOR,Gordon,AU,-37.58333,144.1
AUGOV,Gove,AU,-12.2913985,136.8472845
AUGRB,Gravelly Beach,AU,-41.3,146.96667
AUGRH,Greenhead,AU,-30.05,114.967
AUGRK,Greenock,AU,-34.46667,138.91667
AUGRU,Gruyere,AU,-37.73333,145.45
AUGRV,Griffin Venture (oil terminal),AU,-21.21667,114.63333
AUGTE,Groote Eylandt,AU,-13.9333,136.6
AUGTW,Great Western,AU,-37.15,142.85
AUGTY,Kingsford,AU,-33.9215922,151.2272307
AUGUM,Gumeracha,AU,-34.83333,138.88333
AUGUR,The Gurdies,AU,-38.36667,145.55
AUHAH,Hahndorf,AU,-35.03333,138.8
AUHAM,Hampton,AU,-37.937671,145.0086789
AUHAS,Hastings,AU,-38.3,145.25
AUHBA,Hobart,AU,-42.86667,147.3
AUHBE,Heatherbrae,AU,-32.78333,151.73333
AUHDD,Hoddles Creek,AU,-37.83333,145.58333
AUHFR,Henderson,AU,-32.16667,115.76667
AUHNK,Hinchinbrook Island,AU,-18.38333,146.28333
